,Company,Name,Simplified_Type,Capacity,Start_date
453,SSE,Rigged Hill,Onshore,5.0,1994
454,SSE,Wether Hill,Onshore,18.0,2007
455,SSE,Whitelee,Onshore,322.0,2007
456,SSE,Whitelee II,Onshore,217.0,2012
457,SSE,Wolf Bog,Onshore,10.0,2008
459,Seabank Power Limited,Seabank 1,CCGT,812.0,1998
460,Seabank Power Limited,Seabank 2,CCGT,410.0,2000
463,Sembcorp Utilities,Wilton GT2,Recip_gas,42.0,2005
464,Sembcorp Utilities,Wilton 10,Biomass_wood,38.0,2007
467,Combined Heat & Power Ltd,SELCHP ERF,EfW,32.0,1994
469,Statkraft Energy Ltd,Rheidol,Hydro,49.0,1961
470,Statkraft Energy Ltd,Alltwalis,Onshore,23.0,2009
471,Statkraft Energy Ltd,Scira (Sheringham Shoal),Offshore,316.0,2012
472,Statkraft Energy Ltd,Baillie,Onshore,53.0,2013
474,Sutton Bridge Power Generation,Sutton Bridge,CCGT,819.0,1999
476,Talisman Energy,Beatrice (3),Offshore,10.0,2007
478,Triodos,FMC (2),Onshore,2.0,2011
480,Vattenfall Wind Power,Kentish Flats,Offshore,90.0,2005
481,Vattenfall Wind Power,Thanet,Offshore,300.0,2010
482,Vattenfall Wind Power,Edinbane,Onshore,41.0,2010
483,Vattenfall Wind Power,Ormonde,Offshore,150.0,2011
484,Vattenfall Wind Power,Swinford,Onshore,22.0,2012
488,Yorkshire Windpower Ltd ,Ovenden Moor,Onshore,9.0,1993
489,Yorkshire Windpower Ltd ,Royd Moor,Onshore,7.0,1993
