year,type,run_id,,index,run_id,Type,value,Technology,year,value_perc
2013.0,Predicted,42.0,4,1308,42.0,Predicted,1164.6594965502272,Wind,2013.0,4.548174954390402
2013.0,Predicted,42.0,5,1572,42.0,Predicted,7044.965643835619,Gas,2013.0,27.51167735354672
2013.0,Predicted,43.0,0,258,43.0,Predicted,10857.13043493149,Coal,2013.0,42.36766452429018
2013.0,Predicted,43.0,1,522,43.0,Predicted,0.0,Solar,2013.0,0.0
2013.0,Predicted,43.0,2,786,43.0,Predicted,6499.442127771686,Nuclear,2013.0,25.362703829965277
2013.0,Predicted,43.0,3,1050,43.0,Predicted,0.0,,2013.0,0.0
2013.0,Predicted,43.0,4,1314,43.0,Predicted,1164.6594965502272,Wind,2013.0,4.5448383558247345
2013.0,Predicted,43.0,5,1578,43.0,Predicted,7104.750767123291,Gas,2013.0,27.724793289919823
2014.0,Actual,-1.0,0,3,-1.0,Actual,11025.88134138316,Coal,2014.0,36.582004367741604
2014.0,Actual,-1.0,1,12,-1.0,Actual,6821.166719124057,Nuclear,2014.0,22.631474345323124
2014.0,Actual,-1.0,2,21,-1.0,Actual,9876.204078323652,Gas,2014.0,32.76757018723915
2014.0,Actual,-1.0,3,30,-1.0,Actual,2416.926159069883,Wind,2014.0,8.018951099696118
2014.0,Actual,-1.0,4,66,-1.0,Actual,0.0,Solar,2014.0,0.0
2014.0,Predicted,0.0,0,1,0.0,Predicted,9861.945149543366,Coal,2014.0,40.348386323511306
2014.0,Predicted,0.0,1,265,0.0,Predicted,0.0,Solar,2014.0,0.0
2014.0,Predicted,0.0,2,529,0.0,Predicted,6453.646295011868,Nuclear,2014.0,26.403940597711927
2014.0,Predicted,0.0,3,793,0.0,Predicted,0.0,,2014.0,0.0
