DATE,CLOSING PRICE
2/13/2014,6.46
02/12/2014,6.43
02/11/2014,6.34
02/10/2014,6.51
02/06/2014,6.53
02/05/2014,6.16
02/04/2014,5.91
02/03/2014,5.91
1/30/2014,5.78
1/29/2014,5.59
1/28/2014,5.6
1/27/2014,5.46
1/23/2014,5.1
1/22/2014,5.18
1/21/2014,5.1
1/20/2014,4.98
1/16/2014,5.16
1/15/2014,4.89
1/14/2014,4.9
1/13/2014,4.7
01/09/2014,4.59
01/08/2014,4.65
01/07/2014,4.76
01/06/2014,4.73
01/02/2014,4.84
12/30/2013,5.03
12/19/2013,1.9
12/18/2013,5
12/17/2013,5.02
12/16/2013,4.8
12/12/2013,5.04
12/11/2013,4.99
12/10/2013,5.15
12/09/2013,5.04
12/05/2013,4.8
12/04/2013,4.6
12/03/2013,4.61
12/02/2013,4.63
11/28/2013,4.57
11/27/2013,4.62
11/26/2013,4.63
11/25/2013,4.55
11/21/2013,4.58
11/20/2013,4.65
11/19/2013,4.59
11/18/2013,4.51
11/14/2013,4.73
11/13/2013,4.83
11/12/2013,4.8
11/11/2013,4.75
11/07/2013,4.98
11/06/2013,4.95
11/05/2013,4.93
11/04/2013,4.73
10/31/2013,4.98
10/30/2013,5.13
10/29/2013,5.25
10/28/2013,4.99
10/24/2013,4.81
10/23/2013,4.76
10/22/2013,4.84
10/21/2013,4.73
10/17/2013,5.33
10/16/2013,5.49
10/15/2013,5.1
10/14/2013,4.97
10/10/2013,4.9
10/09/2013,4.92
10/08/2013,5.01
10/07/2013,5.12
10/02/2013,5.43
10/01/2013,5.28
9/30/2013,5.17
9/26/2013,5.63
9/25/2013,5.55
9/24/2013,5.55
9/23/2013,5.57
9/19/2013,5.49
9/18/2013,5.7
9/17/2013,5.81
9/16/2013,5.62
09/12/2013,5.8
09/11/2013,5.39
09/10/2013,5.3
09/09/2013,5.46
09/05/2013,5.11
09/04/2013,4.7
07/01/2013,4.37
6/28/2013,4.76
6/26/2013,5.94
6/25/2013,5.82
6/24/2013,4.65
6/21/2013,4.37
6/20/2013,4.43
6/19/2013,4.38
6/18/2013,4.69
6/17/2013,4.57
6/14/2013,4.78
6/13/2013,4.42
06/12/2013,4.5
06/11/2013,4.22
06/10/2013,4.06
06/07/2013,4.11
06/06/2013,4
06/05/2013,3.92
06/04/2013,3.97
06/03/2013,3.92
5/31/2013,3.93
5/30/2013,3.83
5/29/2013,3.75
5/28/2013,3.65
5/27/2013,3.5
5/24/2013,3.58
5/23/2013,3.42
5/22/2013,3.32
5/21/2013,3.57
5/17/2013,3.52
5/16/2013,3.72
5/15/2013,3.63
5/14/2013,3.52
