,index,date,cluster,hour,data_type,capacity_factor
353,65,2011-02-25,97.0,17,solar,0.0
354,66,2011-02-25,97.0,18,solar,0.0
355,67,2011-02-25,97.0,19,solar,0.0
356,68,2011-02-25,97.0,20,solar,0.0
357,69,2011-02-25,97.0,21,solar,0.0
358,70,2011-02-25,97.0,22,solar,0.0
359,71,2011-02-25,97.0,23,solar,0.0
360,72,2012-06-13,129.0,0,solar,0.0
361,73,2012-06-13,129.0,1,solar,0.0
362,74,2012-06-13,129.0,2,solar,0.0
363,75,2012-06-13,129.0,3,solar,0.0
364,76,2012-06-13,129.0,4,solar,0.0197
365,77,2012-06-13,129.0,5,solar,0.0872
366,78,2012-06-13,129.0,6,solar,0.18899999999999997
367,79,2012-06-13,129.0,7,solar,0.3147
368,80,2012-06-13,129.0,8,solar,0.4325
369,81,2012-06-13,129.0,9,solar,0.509
370,82,2012-06-13,129.0,10,solar,0.5434
371,83,2012-06-13,129.0,11,solar,0.5596
372,84,2012-06-13,129.0,12,solar,0.5501
373,85,2012-06-13,129.0,13,solar,0.51
374,86,2012-06-13,129.0,14,solar,0.435
375,87,2012-06-13,129.0,15,solar,0.3409
376,88,2012-06-13,129.0,16,solar,0.2398
377,89,2012-06-13,129.0,17,solar,0.1376
378,90,2012-06-13,129.0,18,solar,0.0702
379,91,2012-06-13,129.0,19,solar,0.0211
380,92,2012-06-13,129.0,20,solar,0.0007
381,93,2012-06-13,129.0,21,solar,0.0
382,94,2012-06-13,129.0,22,solar,0.0
383,95,2012-06-13,129.0,23,solar,0.0
