,accepted_price,segment_demand,segment_hour,year
10,57.266763690735075,31567.0,4146.0,2018
11,57.266763690735075,32315.0,3685.33,2018
12,57.3253833337268,33188.0,3224.67,2018
13,57.45267927828163,34182.0,2764.0,2018
14,57.95286476631138,35505.0,2303.33,2018
15,59.13921715787245,37480.0,1842.67,2018
16,60.71108362345477,39585.0,1382.08,2018
17,64.17610993762975,42206.0,921.42,2018
18,69.78559222609617,45209.0,460.75,2018
19,86.98701642336898,52152.0,0.08,2018
0,41.75575369112742,17568.0,8752.5,2018
1,46.924990059981745,21964.0,8291.83,2018
2,51.90672791477667,23127.0,7831.17,2018
3,52.54640444802714,24327.0,7370.5,2018
4,53.294624476909036,25520.0,6909.92,2018
5,54.58306697974662,26760.0,6449.25,2018
6,54.58306697974662,27888.0,5988.58,2018
7,55.0934588700672,28935.0,5527.92,2018
8,55.89461770506997,29865.0,5067.25,2018
9,56.02557961551885,30721.0,4606.58,2018
10,56.02557961551885,31567.0,4146.0,2018
11,57.03759360561828,32315.0,3685.33,2018
12,57.06451775154246,33188.0,3224.67,2018
13,58.190700029514595,34182.0,2764.0,2018
14,59.58933622073494,35505.0,2303.33,2018
15,61.167183452150816,37480.0,1842.67,2018
16,64.5186101643021,39585.0,1382.08,2018
17,67.3379952654839,42206.0,921.42,2018
18,70.97824212543532,45209.0,460.75,2018
19,86.9363399211611,52152.0,0.08,2018
0,45.06682053342541,17568.0,8752.5,2018
1,47.41925904884649,21964.0,8291.83,2018
2,48.68232241116371,23127.0,7831.17,2018
3,48.68232241116371,24327.0,7370.5,2018
4,49.152619554011814,25520.0,6909.92,2018
5,50.535340992279984,26760.0,6449.25,2018
6,54.706606678467715,27888.0,5988.58,2018
7,56.49873324464682,28935.0,5527.92,2018
8,56.77920092522991,29865.0,5067.25,2018
9,56.830161713204966,30721.0,4606.58,2018
10,57.83120294140953,31567.0,4146.0,2018
11,57.963417920405085,32315.0,3685.33,2018
12,58.29632085503842,33188.0,3224.67,2018
13,58.549414097680106,34182.0,2764.0,2018
14,59.109187485109935,35505.0,2303.33,2018
15,60.72976945613069,37480.0,1842.67,2018
16,66.65735687561939,39585.0,1382.08,2018
17,70.20184701716386,42206.0,921.42,2018
18,71.42293150744469,45209.0,460.75,2018
19,93.05791833694788,52152.0,0.08,2018
0,40.9198633783699,17568.0,8752.5,2018
1,46.02563667895664,21964.0,8291.83,2018
2,46.272629671577334,23127.0,7831.17,2018
3,48.765554923147555,24327.0,7370.5,2018
4,49.759780802032694,25520.0,6909.92,2018
5,51.27215619169596,26760.0,6449.25,2018
6,51.88696713285247,27888.0,5988.58,2018
7,52.321692622378215,28935.0,5527.92,2018
8,53.49847161949765,29865.0,5067.25,2018
9,54.35001744467726,30721.0,4606.58,2018
10,54.35001744467726,31567.0,4146.0,2018
11,56.05008526895708,32315.0,3685.33,2018
12,56.07988785198811,33188.0,3224.67,2018
13,56.312235509760065,34182.0,2764.0,2018
14,56.404691827402495,35505.0,2303.33,2018
15,58.988818668796334,37480.0,1842.67,2018
16,61.082371007053496,39585.0,1382.08,2018
17,64.69285541558004,42206.0,921.42,2018
18,69.85219773054791,45209.0,460.75,2018
19,88.25249350854554,52152.0,0.08,2018
0,43.381906933490356,17568.0,8752.5,2018
1,46.514457175665925,21964.0,8291.83,2018
2,46.893961519267926,23127.0,7831.17,2018
3,49.50608374925191,24327.0,7370.5,2018
4,52.27696021328475,25520.0,6909.92,2018
5,52.9519107347675,26760.0,6449.25,2018
6,53.448436952298906,27888.0,5988.58,2018
7,56.472476787023304,28935.0,5527.92,2018
8,57.27947145376897,29865.0,5067.25,2018
9,57.924813161111025,30721.0,4606.58,2018
10,58.143191783248334,31567.0,4146.0,2018
11,58.72620264227908,32315.0,3685.33,2018
12,58.72620264227908,33188.0,3224.67,2018
13,58.828516942087596,34182.0,2764.0,2018
14,60.04678717010147,35505.0,2303.33,2018
15,61.485289051391284,37480.0,1842.67,2018
16,62.431113404300575,39585.0,1382.08,2018
17,66.54984933494771,42206.0,921.42,2018
18,69.11874831431555,45209.0,460.75,2018
19,87.00360923057245,52152.0,0.08,2018
0,42.15638676877166,17568.0,8752.5,2018
1,48.31799120690647,21964.0,8291.83,2018
2,52.510607629317796,23127.0,7831.17,2018
3,55.09300400231369,24327.0,7370.5,2018
4,55.26524718336541,25520.0,6909.92,2018
5,55.745249665694196,26760.0,6449.25,2018
6,56.00367113111596,27888.0,5988.58,2018
7,56.00367113111596,28935.0,5527.92,2018
8,56.17982075993434,29865.0,5067.25,2018
9,56.96658137457842,30721.0,4606.58,2018
10,56.96658137457842,31567.0,4146.0,2018
11,58.05803135536412,32315.0,3685.33,2018
12,58.05803135536412,33188.0,3224.67,2018
13,58.46997957330487,34182.0,2764.0,2018
14,59.55673319060628,35505.0,2303.33,2018
15,61.48123857969043,37480.0,1842.67,2018
16,62.55516712949978,39585.0,1382.08,2018
17,66.31610341013375,42206.0,921.42,2018
18,68.35356375859877,45209.0,460.75,2018
19,87.20094888837086,52152.0,0.08,2018
0,40.679446998749896,17568.0,8752.5,2018
1,48.06637089370918,21964.0,8291.83,2018
2,48.96578640975863,23127.0,7831.17,2018
3,50.498467757919066,24327.0,7370.5,2018
